Frequency,Amplitude
300.0,2.55019906398355e-16
300.5,2.640354464764517e-16
301.0,2.1053817861145292e-16
301.5,2.71691546936282e-16
302.0,2.7826931284605036e-16
302.5,2.3919904469007725e-16
303.0,3.035264688670541e-16
303.5,2.594836552570392e-16
304.0,2.4662891689594255e-16
304.5,1.3350281124162194e-16
305.0,4.279338623646929e-16
305.5,2.3812715928744635e-16
306.0,6.006543258100799e-16
306.5,2.6161419704012615e-16
307.0,6.574088427652249e-16
307.5,5.055405609357106e-16
308.0,4.184972088759277e-16
308.5,4.052238349347101e-16
309.0,1.6561374841608921e-16
309.5,2.1548469295909537e-16
310.0,2.7805963201663494e-16
310.5,3.6478604321803143e-16
311.0,3.3719728859069554e-16
311.5,3.908796619422536e-16
312.0,2.598895146880358e-16
312.5,2.991262805181047e-16
313.0,4.7538325663962485e-17
313.5,1.4699686062004708e-16
314.0,2.5310323575536185e-16
314.5,3.1019468570863455e-16
315.0,3.654393646332344e-16
315.5,5.070889176648489e-16
316.0,4.847164939142434e-16
316.5,4.2329034933824747e-16
317.0,2.1940397643993485e-16
317.5,4.593520671535502e-16
318.0,1.8845337777289642e-16
318.5,2.2423466127320883e-16
319.0,3.374757771966995e-16
319.5,2.932037087635979e-16
320.0,3.1108902462255917e-16
320.5,1.7993574225058607e-16
321.0,3.258861174983171e-16
321.5,2.9808147679813224e-16
322.0,3.428088402646843e-16
322.5,3.076351620983881e-16
323.0,3.275122351644237e-16
323.5,3.483596865455809e-16
324.0,3.6855954118623667e-16
324.5,3.249845654868447e-16
325.0,3.693432645906388e-16
325.5,3.8362974225199503e-16
326.0,3.83196222062243e-16
326.5,3.3199341748265125e-16
327.0,3.4784671795186453e-16
327.5,3.955977499216112e-16
328.0,3.787291605399104e-16
328.5,2.574765374026484e-16
329.0,3.7753449057138904e-16
329.5,3.988418699720337e-16
330.0,3.8919320837674453e-16
330.5,3.574925191784142e-16
331.0,3.153754004330777e-16
331.5,3.895392342774478e-16
332.0,3.431191375733198e-16
332.5,4.1129620493581684e-16
333.0,3.9253768264714133e-16
333.5,4.41972226982438e-16
334.0,4.4278234980860094e-16
334.5,3.9194567427783667e-16
335.0,4.0871567516916634e-16
335.5,4.0649530928025194e-16
336.0,5.168941092668289e-16
336.5,5.487004716858722e-16
337.0,3.950118837066996e-16
337.5,5.925843946978087e-16
338.0,5.599190276029939e-16
338.5,4.318662989591974e-16
339.0,3.8691619811115236e-16
339.5,4.529089855718522e-16
340.0,4.711655256112174e-16
340.5,5.238776676354026e-16
341.0,4.97865998999264e-16
341.5,5.170867718013462e-16
342.0,2.834339813822401e-16
342.5,5.548753558488252e-16
343.0,6.923344054442634e-16
343.5,5.788801568665684e-16
344.0,5.741000872555539e-16
344.5,6.170909648426624e-16
345.0,4.92573734051575e-16
345.5,5.627046784034795e-16
346.0,5.509606977103923e-16
346.5,5.885392136864916e-16
347.0,5.904555347847773e-16
347.5,6.329303708174191e-16
348.0,7.105908172941944e-16
348.5,6.75132519966717e-16
349.0,7.376811406706069e-16
349.5,5.773768063219488e-16
350.0,6.390750089292446e-16
350.5,6.469381423661567e-16
351.0,7.11065162261609e-16
351.5,7.348362964673686e-16
352.0,7.221762945325388e-16
352.5,8.192633023565127e-16
353.0,8.534950641411397e-16
353.5,8.859126166994279e-16
354.0,9.114438521858554e-16
354.5,9.419403725599947e-16
355.0,9.76005966284209e-16
355.5,1.0494337737205365e-15
356.0,9.069537295977872e-16
356.5,9.433084583638011e-16
357.0,9.101875772461642e-16
357.5,9.637755451300465e-16
358.0,1.0078969661109426e-15
358.5,1.0757421504717414e-15
359.0,1.1336183085049958e-15
359.5,1.1776381623904764e-15
360.0,1.197834088970519e-15
360.5,1.2452699516907333e-15
361.0,1.1837048251803685e-15
361.5,1.212182554896409e-15
362.0,1.3209863693357196e-15
362.5,1.3942258154836697e-15
363.0,1.5220070957140323e-15
363.5,1.5871163280802649e-15
364.0,1.4633273320484952e-15
364.5,1.6562213550416673e-15
365.0,1.5955158960546054e-15
365.5,1.4341234331488443e-15
366.0,1.7069175558586745e-15
366.5,1.8976066999815504e-15
367.0,1.836356623575073e-15
367.5,2.043162640226731e-15
368.0,1.9983770120642483e-15
368.5,2.2813761788674307e-15
369.0,2.3193193045644637e-15
369.5,2.6291574011193183e-15
370.0,2.7592812845968068e-15
370.5,2.9113157888987412e-15
371.0,3.219332429069409e-15
371.5,3.3818189863872778e-15
372.0,3.7716934837189795e-15
372.5,4.229905040763283e-15
373.0,4.822083413691757e-15
373.5,5.5441732711484755e-15
374.0,6.516692291027585e-15
374.5,7.747007385053761e-15
375.0,9.631659443136057e-15
375.5,1.2933820083050538e-14
376.0,1.921198324358665e-14
376.5,3.8789943570759793e-14
377.0,1.0000000000000002
377.5,3.884877037785442e-14
378.0,1.940873512561216e-14
378.5,1.3025528970882863e-14
379.0,9.755882909828718e-15
379.5,7.823663869809717e-15
380.0,6.529139319669245e-15
380.5,5.532383659134843e-15
381.0,4.879742411598883e-15
381.5,4.352629920474754e-15
382.0,3.8303361782939926e-15
382.5,3.5447053408177017e-15
383.0,3.3019540108211794e-15
383.5,3.0318210928668706e-15
384.0,2.8254426685546947e-15
384.5,2.6597052348652587e-15
385.0,2.425464762200578e-15
385.5,2.3704319361140682e-15
386.0,2.21123917673145e-15
386.5,2.1721254424254606e-15
387.0,1.9160446611865484e-15
387.5,1.860864747731785e-15
388.0,1.6880551736815296e-15
388.5,1.6360726749086563e-15
389.0,1.5649390379914796e-15
389.5,1.5943802270752761e-15
390.0,1.5571181536068047e-15
390.5,1.5785414990554268e-15
391.0,1.5155270806337948e-15
391.5,1.3981278912886645e-15
392.0,1.3007943977835176e-15
392.5,1.2009331437405112e-15
393.0,1.219445806735037e-15
393.5,1.22408478123704e-15
394.0,1.1987086752273035e-15
394.5,1.2016445940428694e-15
395.0,1.1479116667468162e-15
395.5,1.0545479126551233e-15
396.0,1.0041585488277233e-15
396.5,9.933052379032139e-16
397.0,1.0230116819939433e-15
397.5,1.0083907112103645e-15
398.0,1.0120130129434306e-15
398.5,1.0154348112822076e-15
399.0,8.715683812765626e-16
399.5,8.352989672574567e-16
400.0,8.126366832296902e-16
400.5,8.622051377636465e-16
401.0,8.695373398801316e-16
401.5,8.456482426187738e-16
402.0,8.136961704923006e-16
402.5,8.332407651693269e-16
403.0,6.693393666296372e-16
403.5,8.866155341452887e-16
404.0,6.5241055481623385e-16
404.5,6.88864583784668e-16
405.0,7.723434490700798e-16
405.5,7.504992795318525e-16
406.0,7.486978090518874e-16
406.5,6.829848041374319e-16
407.0,6.661282112154356e-16
407.5,6.119576132459318e-16
408.0,6.264211604908941e-16
408.5,6.968052325695178e-16
409.0,6.379726723885108e-16
409.5,7.202657911255628e-16
410.0,5.121471039752747e-16
410.5,6.514643542565759e-16
411.0,5.915499777800034e-16
411.5,6.341172860704701e-16
412.0,5.408711429255049e-16
412.5,6.39819860384449e-16
413.0,5.208927472614803e-16
413.5,6.776504732045119e-16
414.0,4.607962916362466e-16
414.5,4.1987356848463937e-16
415.0,4.333130520545405e-16
415.5,6.388639240881101e-16
416.0,7.580718153575598e-16
416.5,7.582956370715361e-16
417.0,4.707075612277999e-16
417.5,4.91115191391469e-16
418.0,4.840306054993707e-16
418.5,4.164924323014378e-16
419.0,4.578376398648452e-16
419.5,4.43874215396582e-16
420.0,5.525517546648929e-16
420.5,4.460435085252504e-16
421.0,4.2721376077496306e-16
421.5,4.518356943767843e-16
422.0,2.5381618787307135e-16
422.5,4.676153219508384e-16
423.0,3.8890244782977553e-16
423.5,4.334428160524337e-16
424.0,5.189501046002757e-16
424.5,5.296810960208647e-16
425.0,5.659034191924674e-16
425.5,4.38486791790129e-16
426.0,6.586289845031632e-16
426.5,5.657662982302218e-16
427.0,5.936522330936152e-16
427.5,4.816278882607322e-16
428.0,5.109776492914185e-16
428.5,4.017791448876499e-16
429.0,4.578477120778518e-16
429.5,3.963739550227332e-16
430.0,5.202846628950878e-16
430.5,4.666835471417792e-16
431.0,4.710143417820688e-16
431.5,4.302864837410861e-16
432.0,4.0124937030973196e-16
432.5,2.796966479411258e-16
433.0,3.769044445908575e-16
433.5,2.1783609444055968e-16
434.0,5.011546203632807e-16
434.5,3.877215861723816e-16
435.0,4.764613671137372e-16
435.5,2.2403182510628533e-16
436.0,4.0659081293862566e-16
436.5,5.873415896725087e-16
437.0,5.824927672535564e-16
437.5,8.701919151486473e-16
438.0,3.4412849701874166e-16
438.5,7.06557864800637e-16
439.0,4.413823485960778e-16
439.5,4.3935275816943705e-16
440.0,2.3094965458283457e-16
440.5,3.362885306600932e-16
441.0,2.533132721090084e-16
441.5,4.497879844976925e-16
442.0,3.9487843132098156e-16
442.5,4.2956580339252863e-16
443.0,3.6739290805007213e-16
443.5,3.386419041719897e-16
444.0,3.1636580332173655e-16
444.5,3.466253660802111e-16
445.0,3.307054240547109e-16
445.5,4.130330764725517e-16
446.0,3.6782657136597816e-16
446.5,3.9665276927165586e-16
447.0,3.363954884081333e-16
447.5,2.972819839353059e-16
448.0,2.9436298921449946e-16
448.5,2.5630020828709184e-16
449.0,4.794362759752111e-16
449.5,2.5633478930053034e-16
450.0,3.621681936411045e-16
